make,model,vehicle_type,battery_capacity_kwh,range_km,efficiency_wh_per_km,charging_power_kw,charging_time,drivetrain,towing_capacity_kg,cargo_volume_l,segment,fast_charge_port,seats,range_category,charging_speed_category
Byd,Sealion 7 82.5 Kwh Rwd Comfort,Suv,82.5,415,171,115.0,0.72,Rwd,750.0,520.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Byd,Sealion 7 91.3 Kwh Awd Excellence,Suv,91.3,430,182,165.0,0.55,Awd,1500.0,520.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Byd,Tang Flagship,Suv,108.8,460,205,100.0,1.09,Awd,1500.0,235.0,Je - Executive,Ccs,7,High,Fast
Cupra,Born 170 Kw - 59 Kwh,Hatchback,59.0,360,156,110.0,0.54,Rwd,0.0,385.0,C - Medium,Ccs,5,Medium,Ultra_Fast
Cupra,Born 170 Kw - 77 Kwh,Hatchback,77.0,460,157,125.0,0.62,Rwd,0.0,385.0,C - Medium,Ccs,5,High,Ultra_Fast
Cupra,Born Vz,Hatchback,79.0,465,149,135.0,0.59,Rwd,0.0,385.0,C - Medium,Ccs,5,High,Ultra_Fast
Cupra,Tavascan Endurance,Suv,77.0,445,142,120.0,0.64,Rwd,1000.0,540.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Cupra,Tavascan Vz,Suv,77.0,425,150,120.0,0.64,Awd,1200.0,540.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Cadillac,Lyriq 600 E4,Suv,102.0,460,192,165.0,0.62,Awd,1587.0,793.0,Jf - Luxury,Ccs,5,High,Ultra_Fast
Citroen,E-Berlingo M 50 Kwh,Small Passenger Van,50.0,235,149,80.0,0.62,Fwd,750.0,775.0,N - Passenger Van,Ccs,5,Low,Fast
Citroen,E-Berlingo Xl 50 Kwh,Small Passenger Van,50.0,230,149,80.0,0.62,Fwd,750.0,1050.0,N - Passenger Van,Ccs,7,Low,Fast
Citroen,E-C3,Hatchback,44.0,255,135,60.0,0.73,Fwd,550.0,310.0,B - Compact,Ccs,5,Medium,Fast
Citroen,E-C3 Aircross,Suv,44.0,240,144,60.0,0.73,Fwd,350.0,460.0,Jb - Compact,Ccs,5,Low,Fast
Citroen,E-C4,Hatchback,46.3,285,135,78.0,0.59,Fwd,0.0,380.0,C - Medium,Ccs,5,Medium,Fast
Citroen,E-C4 54 Kwh,Hatchback,50.8,325,122,78.0,0.65,Fwd,0.0,380.0,C - Medium,Ccs,5,Medium,Fast
Citroen,E-C4 X,Sedan,46.3,290,132,78.0,0.59,Fwd,0.0,510.0,C - Medium,Ccs,5,Medium,Fast
Citroen,E-C4 X 54 Kwh,Sedan,50.8,335,119,78.0,0.65,Fwd,0.0,510.0,C - Medium,Ccs,5,Medium,Fast
Citroen,E-Spacetourer M 50 Kwh,Small Passenger Van,46.3,180,217,78.0,0.59,Fwd,1000.0,603.0,N - Passenger Van,Ccs,9,Low,Fast
Citroen,E-Spacetourer M 75 Kwh,Small Passenger Van,68.0,260,202,79.0,0.86,Fwd,1000.0,603.0,N - Passenger Van,Ccs,9,Medium,Fast
Citroen,E-Spacetourer Xl 50 Kwh,Small Passenger Van,46.3,180,219,78.0,0.59,Fwd,1000.0,989.0,N - Passenger Van,Ccs,9,Low,Fast
Citroen,E-Spacetourer Xl 75 Kwh,Small Passenger Van,68.0,260,204,79.0,0.86,Fwd,1000.0,989.0,N - Passenger Van,Ccs,9,Medium,Fast
Ds,3 E-Tense,Suv,50.8,300,128,85.0,0.6,Fwd,0.0,350.0,Jb - Compact,Ccs,5,Medium,Fast
Ds,N°4 E-Tense,Hatchback,58.3,375,130,70.0,0.83,Fwd,0.0,390.0,Jc - Medium,Ccs,5,Medium,Fast
Ds,N°8 Awd Long Range,Suv,97.2,530,146,130.0,0.75,Awd,1400.0,620.0,Jd - Large,Ccs,5,High,Ultra_Fast
Ds,N°8 Fwd,Suv,73.7,415,141,100.0,0.74,Fwd,1260.0,620.0,Jd - Large,Ccs,5,Medium,Fast
Ds,N°8 Fwd Long Range,Suv,97.2,545,136,130.0,0.75,Fwd,1200.0,620.0,Jd - Large,Ccs,5,High,Ultra_Fast
Dacia,Spring Electric 45,Hatchback,25.0,165,109,29.0,0.86,Fwd,0.0,308.0,A - Mini,Ccs,4,Low,Fast
Dacia,Spring Electric 65,Hatchback,25.0,160,114,29.0,0.86,Fwd,0.0,308.0,A - Mini,Ccs,4,Low,Fast
Dongfeng,Box 31.4 Kwh,Hatchback,29.0,190,126,50.0,0.58,Fwd,0.0,326.0,B - Compact,Ccs,5,Low,Fast
Dongfeng,Box 42.3 Kwh,Hatchback,40.0,255,129,51.0,0.78,Fwd,0.0,326.0,B - Compact,Ccs,5,Medium,Fast
Elaris,Beo 86 Kwh,Suv,81.0,390,203,65.0,1.25,Fwd,750.0,467.0,Jd - Large,Ccs,5,Medium,Fast
Fiat,500E 3+1 24 Kwh,Hatchback,21.3,135,112,40.0,0.53,Fwd,0.0,185.0,B - Compact,Ccs,4,Low,Fast
Fiat,500E 3+1 42 Kwh,Hatchback,37.3,235,122,67.0,0.56,Fwd,0.0,185.0,B - Compact,Ccs,4,Low,Fast
Fiat,500E Cabrio 24 Kwh,Cabriolet,21.3,135,112,40.0,0.53,Fwd,0.0,185.0,B - Compact,Ccs,4,Low,Fast
Fiat,500E Cabrio 42 Kwh,Cabriolet,37.3,230,125,67.0,0.56,Fwd,0.0,185.0,B - Compact,Ccs,4,Low,Fast
Fiat,500E Hatchback 24 Kwh,Hatchback,21.3,135,112,40.0,0.53,Fwd,0.0,185.0,B - Compact,Ccs,4,Low,Fast
Fiat,500E Hatchback 42 Kwh,Hatchback,37.3,235,118,67.0,0.56,Fwd,0.0,185.0,B - Compact,Ccs,4,Low,Fast
Fiat,600E,Suv,50.8,310,124,79.0,0.64,Fwd,0.0,360.0,Jb - Compact,Ccs,5,Medium,Fast
Fiat,Grande Panda,Hatchback,43.8,260,136,60.0,0.73,Fwd,550.0,361.0,B - Compact,Ccs,5,Medium,Fast
Ford,Capri Extended Range Awd,Liftback Sedan,79.0,455,148,135.0,0.59,Awd,1200.0,572.0,D - Large,Ccs,5,High,Ultra_Fast
Ford,Capri Extended Range Rwd,Liftback Sedan,77.0,455,135,120.0,0.64,Rwd,1000.0,572.0,D - Large,Ccs,5,High,Ultra_Fast
Ford,Capri Standard Range Rwd,Liftback Sedan,52.0,320,163,85.0,0.61,Rwd,1000.0,572.0,D - Large,Ccs,5,Medium,Fast
Ford,Explorer Extended Range Awd,Suv,79.0,440,153,135.0,0.59,Awd,1200.0,536.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Ford,Explorer Extended Range Rwd,Suv,77.0,435,139,120.0,0.64,Rwd,1000.0,536.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Ford,Explorer Standard Range Rwd,Suv,52.0,305,137,85.0,0.61,Rwd,1000.0,536.0,Jc - Medium,Ccs,5,Medium,Fast
Ford,Mustang Mach-E Er Awd (My25),Suv,88.0,435,160,105.0,0.84,Awd,1500.0,519.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Ford,Mustang Mach-E Er Awd (My24),Suv,91.0,445,165,115.0,0.79,Awd,1500.0,519.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Ford,Mustang Mach-E Er Rwd (My25),Suv,88.0,475,147,105.0,0.84,Rwd,1500.0,519.0,Jd - Large,Ccs,5,High,Ultra_Fast
Ford,Mustang Mach-E Er Rwd (My24),Suv,91.0,480,152,115.0,0.79,Rwd,1500.0,519.0,Jd - Large,Ccs,5,High,Ultra_Fast
Ford,Mustang Mach-E Gt (My24),Suv,91.0,425,177,115.0,0.79,Awd,750.0,519.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Ford,Mustang Mach-E Gt (My25),Suv,91.0,435,177,115.0,0.79,Awd,750.0,519.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Ford,Mustang Mach-E Rally (My25),Suv,91.0,415,178,115.0,0.79,Awd,750.0,519.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Ford,Mustang Mach-E Rally (My24),Suv,91.0,410,178,115.0,0.79,Awd,750.0,519.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Ford,Mustang Mach-E Sr Rwd (My24),Suv,72.6,385,154,100.0,0.73,Rwd,750.0,519.0,Jd - Large,Ccs,5,Medium,Fast
Ford,Mustang Mach-E Sr Rwd (My25),Suv,72.6,380,154,100.0,0.73,Rwd,750.0,519.0,Jd - Large,Ccs,5,Medium,Fast
Ford,Puma Gen-E,Suv,43.6,275,126,85.0,0.51,Fwd,750.0,523.0,Jb - Compact,Ccs,5,Medium,Fast
Ford,E-Tourneo Courier,Small Passenger Van,43.6,200,164,80.0,0.55,Fwd,750.0,470.0,N - Passenger Van,Ccs,5,Low,Fast
Ford,E-Tourneo Custom L1 160 Kw,Small Passenger Van,64.0,235,370,70.0,0.91,Rwd,2000.0,672.0,N - Passenger Van,Ccs,8,Low,Fast
Ford,E-Tourneo Custom L1 210 Kw,Small Passenger Van,64.0,235,370,70.0,0.91,Rwd,2000.0,672.0,N - Passenger Van,Ccs,8,Low,Fast
Ford,E-Tourneo Custom L2 160 Kw,Small Passenger Van,64.0,235,370,70.0,0.91,Rwd,2000.0,672.0,N - Passenger Van,Ccs,8,Low,Fast
Ford,E-Tourneo Custom L2 210 Kw,Small Passenger Van,64.0,235,370,70.0,0.91,Rwd,2000.0,672.0,N - Passenger Van,Ccs,8,Low,Fast
Gwm,Ora 03 48 Kwh,Hatchback,45.4,260,146,45.0,1.01,Fwd,0.0,228.0,C - Medium,Ccs,5,Medium,Fast
Gwm,Ora 03 63 Kwh,Hatchback,59.3,340,141,56.0,1.06,Fwd,0.0,228.0,C - Medium,Ccs,5,Medium,Fast
Gwm,Ora 03 Gt,Hatchback,59.3,325,148,56.0,1.06,Fwd,0.0,228.0,C - Medium,Ccs,5,Medium,Fast
Gwm,Ora 07 Gt,Sedan,83.5,430,161,80.0,1.04,Awd,0.0,333.0,D - Large,Ccs,5,Medium,Fast
Gwm,Ora 07 Pro,Sedan,64.3,350,146,75.0,0.86,Fwd,0.0,333.0,D - Large,Ccs,5,Medium,Fast
Gwm,Ora 07 Pure,Sedan,64.3,350,146,75.0,0.86,Fwd,0.0,333.0,D - Large,Ccs,5,Medium,Fast
Genesis,G80 Electrified Luxury,Sedan,82.5,440,159,160.0,0.52,Awd,1200.0,354.0,F - Luxury,Ccs,5,Medium,Ultra_Fast
Genesis,Gv60 Premium,Suv,74.0,390,143,200.0,0.37,Rwd,1600.0,432.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Genesis,Gv60 Sport,Suv,74.0,375,157,200.0,0.37,Awd,1600.0,432.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Genesis,Gv60 Sport Plus,Suv,74.0,360,159,200.0,0.37,Awd,1600.0,432.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Genesis,Gv70 Electrified Sport,Suv,74.0,350,163,190.0,0.39,Awd,1800.0,503.0,Jd - Large,Ccs,5,Medium,Ultra_Fast
Honda,E:Ny1,Suv,61.9,335,150,60.0,1.03,Fwd,0.0,361.0,Jb - Compact,Ccs,5,Medium,Fast
Hongqi,E-Hs9 120 Kwh,Suv,112.0,455,217,110.0,1.02,Awd,1500.0,438.0,Jf - Luxury,Ccs,5,High,Ultra_Fast
Hongqi,E-Hs9 84 Kwh,Suv,76.5,320,193,112.0,0.68,Awd,1500.0,438.0,Jf - Luxury,Ccs,5,Medium,Ultra_Fast
Hongqi,E-Hs9 99 Kwh,Suv,90.0,370,194,112.0,0.8,Awd,1500.0,438.0,Jf - Luxury,Ccs,5,Medium,Ultra_Fast
Hyundai,Inster Long Range,Suv,46.0,300,124,70.0,0.66,Fwd,0.0,280.0,Ja - Mini,Ccs,4,Medium,Fast
Hyundai,Inster Standard Range,Suv,39.0,255,119,60.0,0.65,Fwd,0.0,280.0,Ja - Mini,Ccs,4,Medium,Fast
Hyundai,Ioniq 5 63 Kwh Rwd (My24),Suv,60.0,345,136,150.0,0.4,Rwd,750.0,520.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Hyundai,Ioniq 5 84 Kwh Awd (My24),Suv,80.0,445,162,205.0,0.39,Awd,1600.0,520.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Hyundai,Ioniq 5 84 Kwh Rwd (My24),Suv,80.0,450,155,205.0,0.39,Rwd,1600.0,520.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Hyundai,Ioniq 5 N (My24),Suv,80.0,390,179,205.0,0.39,Awd,0.0,480.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Hyundai,Ioniq 6 Long Range 2Wd,Sedan,74.0,495,136,200.0,0.37,Rwd,1500.0,401.0,D - Large,Ccs,5,High,Ultra_Fast
Hyundai,Ioniq 6 Long Range Awd,Sedan,74.0,440,143,200.0,0.37,Awd,1500.0,401.0,D - Large,Ccs,5,Medium,Ultra_Fast
Hyundai,Ioniq 6 Standard Range 2Wd,Sedan,50.0,335,117,120.0,0.42,Rwd,750.0,401.0,D - Large,Ccs,5,Medium,Ultra_Fast
Hyundai,Ioniq 9 Long Range Awd,Suv,106.0,490,177,195.0,0.54,Awd,2500.0,338.0,Jf - Luxury,Ccs,7,High,Ultra_Fast
Hyundai,Ioniq 9 Long Range Rwd,Suv,106.0,500,171,195.0,0.54,Rwd,1600.0,338.0,Jf - Luxury,Ccs,7,High,Ultra_Fast
Hyundai,Ioniq 9 Performance Awd,Suv,106.0,480,177,195.0,0.54,Awd,2500.0,338.0,Jf - Luxury,Ccs,7,High,Ultra_Fast
Hyundai,Kona Electric 48 Kwh,Suv,48.4,295,128,50.0,0.97,Fwd,300.0,466.0,Jb - Compact,Ccs,5,Medium,Fast
Hyundai,Kona Electric 65 Kwh,Suv,65.4,390,144,86.0,0.76,Fwd,750.0,466.0,Jb - Compact,Ccs,5,Medium,Fast
Jaguar,I-Pace Ev400,Suv,84.7,380,208,85.0,1.0,Awd,750.0,505.0,Jd - Large,Ccs,5,Medium,Fast
Jeep,Avenger Electric,Suv,50.8,310,132,85.0,0.6,Fwd,0.0,355.0,Jb - Compact,Ccs,5,Medium,Fast
Jeep,Compass Electric 74 Kwh,Suv,74.0,370,148,90.0,0.82,Fwd,1000.0,550.0,Jc - Medium,Ccs,5,Medium,Fast
Kgm,Torres Evx,Suv,72.0,370,156,85.0,0.85,Fwd,1500.0,839.0,Jc - Medium,Ccs,5,Medium,Fast
Kia,Ev3 Long Range,Suv,78.0,455,139,105.0,0.74,Fwd,1000.0,460.0,Jb - Compact,Ccs,5,High,Ultra_Fast
Kia,Ev3 Standard Range,Suv,55.0,325,133,80.0,0.69,Fwd,300.0,460.0,Jb - Compact,Ccs,5,Medium,Fast
Kia,Ev4 Hatchback Long Range,Hatchback,78.0,475,132,105.0,0.74,Fwd,750.0,435.0,C - Medium,Ccs,5,High,Ultra_Fast
Kia,Ev4 Hatchback Standard Range,Hatchback,55.0,340,134,80.0,0.69,Fwd,750.0,435.0,C - Medium,Ccs,5,Medium,Fast
Kia,Ev4 Sedan Long Range,Sedan,78.0,495,124,105.0,0.74,Fwd,750.0,490.0,C - Medium,Ccs,5,High,Ultra_Fast
Kia,Ev4 Sedan Standard Range,Sedan,55.0,355,128,80.0,0.69,Fwd,750.0,490.0,C - Medium,Ccs,5,Medium,Fast
Kia,Ev6 Gt,Suv,80.0,385,178,205.0,0.39,Awd,1800.0,480.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Kia,Ev6 Long Range 2Wd,Suv,80.0,455,143,205.0,0.39,Rwd,1800.0,490.0,Jc - Medium,Ccs,5,High,Ultra_Fast
Kia,Ev6 Long Range Awd,Suv,80.0,440,154,205.0,0.39,Awd,1800.0,490.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Kia,Ev6 Standard Range 2Wd,Suv,60.0,345,140,150.0,0.4,Rwd,750.0,490.0,Jc - Medium,Ccs,5,Medium,Ultra_Fast
Kia,Ev9 76.1 Kwh Rwd,Suv,73.0,355,165,160.0,0.46,Rwd,900.0,333.0,Jf - Luxury,Ccs,7,Medium,Ultra_Fast
Kia,Ev9 99.8 Kwh Awd,Suv,96.0,435,188,194.0,0.49,Awd,2500.0,333.0,Jf - Luxury,Ccs,7,Medium,Ultra_Fast
Kia,Ev9 99.8 Kwh Awd Gt,Suv,96.0,420,190,194.0,0.49,Awd,2500.0,333.0,Jf - Luxury,Ccs,7,Medium,Ultra_Fast
